raw_school,raw_project,canonical
Boston University,Statistical practice ,Boston University Master's in Statistical Practice
Boston University,data science,Boston University MSc data science
Brown University,ScM Biostatistics,Brown University Master of Science in Biostatistics
Brown University,MS Biostatistics,Brown University Master of Science in Biostatistics
Brown University,MSc in Biostatistics,Brown University Master of Science in Biostatistics
Brown University,Data Science,"Brown University Master’s Program in Data Science (Master of Science, Sc.M.)"
Brown University,Master of Science in Data Science,"Brown University Master’s Program in Data Science (Master of Science, Sc.M.)"
Brown University,Sc.M data science ,"Brown University Master’s Program in Data Science (Master of Science, Sc.M.)"
Brown University,MS in Data Science,"Brown University Master’s Program in Data Science (Master of Science, Sc.M.)"
City University of Hong Kong (CityU),金数,CityU MSc Financial Mathematics
Clemson University,Automotive Engineering (PHD),Clemson Automotive Engineering (PHD)
Carnegie Mellon University (CMU),MSBA,CMU Master of Science in Business Analytics (MSBA) program
Carnegie Mellon University (CMU),Business Intelligence and Data Analytics ,CMU Master of Science in Information Technology (Business Intelligence & Data Analytics)
Carnegie Mellon University (CMU),MS Machine Learning ,CMU Master's in Machine Learning
Carnegie Mellon University (CMU),MS Data Analytics for Science,CMU MS in Data Analytics for Science
Columbia University,,Columbia University
Columbia University,MS in Statistics,Columbia University MA Statistics program
Columbia University,statistic,Columbia University MA Statistics program
Columbia University,MA in Statistics ,Columbia University MA Statistics program
Columbia University,MS in Biostatistics,Columbia University MS in Biostatistics
Columbia University,MS in Data Science,Columbia University MS in Data Science
Cornell University-tech campus,Data Science and Decision Analytics ,Cornell MSc Data Science and Decision Analytics
Cornell University,MEng in Operations Research and Information Engineering,Cornell Tech Master in Operations Research and Information Engineering
Cornell University,Master in Operations Research and Information Engineering,Cornell Tech Master in Operations Research and Information Engineering
Cornell University,MS in Data Science and Decision Analytics ,Cornell Tech Master of Engineering in Data Science & Decision Analytics
Cornell University,MEng in Systems Engineering ,Cornell University MEng in Systems Engineering
Cornell University, MPS in Data Science and Applied Statistic,Cornell University MPS in Data Science and Applied Statistics
Cornell University,MSc in Biostatistics and Data Science,Cornell University MS in Biostatistics and Data Science
Cornell University,ms biostats&ds,Cornell University MS in Biostatistics and Data Science
Cornell University,Master of Science in Biostatistics and Data Science program,Cornell University MS in Biostatistics and Data Science
Cornell University,MS in Biostatistics and Data Science,Cornell University MS in Biostatistics and Data Science
Cornell University,MS Biostatistics and Data Science,Cornell University MS in Biostatistics and Data Science
Cornell University,MS in Biostatistics & Data Science,Cornell University MS in Biostatistics and Data Science
The Chinese University of Hong Kong (CUHK),MSc in Mathematics,CUHK MSc in Mathematics
The Chinese University of Hong Kong (CUHK),MSc in Sport Science and Physical Activity,CUHK MSc in Sport Science and Physical Activity
Duke University,Interdisciplinary Data Science ,Duke University Master in Interdisciplinary Data Science
Duke University,MSc in Biostatistics,Duke University Master of Biostatistics
Duke University,MS in Biostatistics,Duke University Master of Biostatistics
Duke University,ms statistical science,Duke University MS in Statistical Science
Duke University,M.S. in Statistical Science ,Duke University MS in Statistical Science
École Polytechnique Fédérale de Lausanne (EPFL),Computational science,EPFL MSc in Computational Science and Engineering
ETH Zurich,MSc Computational Biology and Bioinformatics,ETH Zurich Master Computational Biology and Bioinformatics
Georgia Institute of Technology (Georgia Tech),statistics,"Georgia Tech Ph.D. in Industrial Engineering, Statistics and Data Science"
Harvard University,Master of Medical Sciences (MMSc) in Biomedical Informatics ,Harvard University Master of Medical Sciences in Biomedical Informatics (MMSc)
Harvard University,Biomedical Informatics,Harvard University Master of Medical Sciences in Biomedical Informatics (MMSc)
Harvard University,MMSc Biomedical Informatics,Harvard University Master of Medical Sciences in Biomedical Informatics (MMSc)
Harvard University,Data Science,Harvard University Master of Science in Data Science
Harvard University,Master of Science in Data Science,Harvard University Master of Science in Data Science
Harvard University,MS in DataScience,Harvard University Master of Science in Data Science
Harvard University,MS Computational biology and quantatitive genetics,Harvard University Master of Science – Computational biology and quantatitive genetics
Harvard University,MS in Computational Science and Engineering ,Harvard University Master's in Computational Science and Engineering (CSE)
Harvard University,Health Data Science,Harvard University MSc Health Data Science
The University of Hong Kong (HKU),ds,HKU Master of Data Science
The University of Hong Kong (HKU),Data Science,HKU Master of Data Science
The University of Hong Kong (HKU),Business Analytics,HKU Master of Science in Business Analytics programme
香港大学,MSc in Business Analytics,HKU Master of Science in Business Analytics programme
The University of Hong Kong (HKU),计算机,HKU Master of Science in Computer Science
The University of Hong Kong (HKU),statistics,HKU Master of Statistics (MStat)
The University of Hong Kong (HKU),Master of Statistics,HKU Master of Statistics (MStat)
香港大学,MSc in Statistics,HKU Master of Statistics (MStat)
The Hong Kong University of Science and Technology (HKUST),MAED,HKUST Master of Science in Mathematics for Educators (MAED)
The Hong Kong University of Science and Technology (HKUST),MS in Data Driven Modelling,HKUST MSc in Data Driven Modelling
Imperial College London,MSc in Artificial Intelligence Applications and Innovation,ICL Artificial Intelligence Applications and Innovation MSc
Imperial College London,ACSE,Imperial College London Applied Computational Science and Engineering MSc
Imperial College London,MSc in Applied Computational Science and Engineering,Imperial College London Applied Computational Science and Engineering MSc
Imperial College London,MSc Applied Computational Science and Engineering ,Imperial College London Applied Computational Science and Engineering MSc
Imperial College London,Computing (MSc 1YFT),Imperial College London Computing (MSc 1YFT)
Imperial College London,environmental data science and machine learning,Imperial College London Environmental Data Science and Machine Learning MSc
Imperial College London,MSc in Environmental data science and machine learning ,Imperial College London Environmental Data Science and Machine Learning MSc
Imperial College London,Msc environmentalMSc Environmental Data Science and Machine Learning,Imperial College London Environmental Data Science and Machine Learning MSc
IC,hds,Imperial College London Health Data Analytics and Machine Learning MSc
Imperial College London,Msc Health Data Analytics and Machine Learning,Imperial College London Health Data Analytics and Machine Learning MSc
Imperial College London,MS in Health Data Analytics and Machine Learning ,Imperial College London Health Data Analytics and Machine Learning MSc
Imperial College London,MS Health data science and machine learning,Imperial College London Health Data Analytics and Machine Learning MSc
Imperial College London,MSc in Artificial Intelligence,Imperial College London MSc Artificial Intelligence
Imperial College London,Artificial Intelligence (MSc 1YFT),Imperial College London MSc Artificial Intelligence
Imperial College London,MSc Biomedical Engeneering（Computational Bioengineering）,Imperial College London MSc Biomedical Engeneering（Computational Bioengineering）
Imperial College London,MSc in Applied Mathematics,Imperial College London MSc in Applied Mathematics
Imperial College London,MSc Applied Mathematics (SCML),Imperial College London MSc in Applied Mathematics
Imperial College London,Applied mathematics ,Imperial College London MSc in Applied Mathematics
Imperial College London,Msc in Applied Math,Imperial College London MSc in Applied Mathematics
Imperial College London,MSc in Statistic,Imperial College London MSc in Statistics
Imperial College London,MSc Financial Statistics,Imperial College London Statistics (Statistical Finance) MSc
Johns Hopkins University,M.S.E. program in Data Science,Johns Hopkins University  Master's in Data Science
Johns Hopkins University,Data Science,Johns Hopkins University  Master's in Data Science
Johns Hopkins University,ds,Johns Hopkins University  Master's in Data Science
Johns Hopkins University,system,Johns Hopkins University MS in Systems Engineering
Johns Hopkins University,applied mathematics&statistics,Johns Hopkins University MSE in Applied Mathematics and Statistics
Johns Hopkins University,Applied mathematics and statistics ,Johns Hopkins University MSE in Applied Mathematics and Statistics
Johns Hopkins University,MSE Applied Mathematics and Statistics,Johns Hopkins University MSE in Applied Mathematics and Statistics
Johns Hopkins University,MSE in Applied Mathematics and Statistics,Johns Hopkins University MSE in Applied Mathematics and Statistics
Johns Hopkins University,ScM Biostatistics,Johns Hopkins University ScM in Biostatistics
King's College London (KCL),MSc in Mathematics,KCL Mathematics MSc
King's College London (KCL),MSc Applied Statistical modelling and Health informatics,KCL MSc Applied Statistical modelling and Health informatics
King's College London (KCL),Msc in statistics,KCL MSc in statistics
Karolinska Institute & KTH & SU,MSc Biostatistics and Data Science,"KTH, Karolinska Institutet and Stockholm University MSc Biostatistics and Data Science"
KU Leuven,MSc Statistics and Data Science,KU Leuven Master of Statistics and Data Science
London School of Economics and Political Science (LSE),MSc in Financial Statistics,LSE MSc Financial Statistics
London School of Economics and Political Science (LSE),MSc Financial Statistics,LSE MSc Financial Statistics
London School of Economics and Political Science (LSE),MSc Operations Research and Analytics,LSE MSc Operations Research and Analytics
London School of Economics and Political Science (LSE),MSc Operations Research & Analytics运筹学,LSE MSc Operations Research and Analytics
London School of Economics and Political Science (LSE),QMRM（quantatitive methods of risk management）,LSE MSc Quantitative Methods for Risk Management
Massachusetts Institute of Technology (MIT),Operations Research (ORC),MIT master’s degree (SM) program in operations research (OR)
Northwestern University,MS in Machine Learning and Data Science ,Northwestern University Master of Science in Machine Learning and Data Science (MLDS)
Northwestern University,MLDS,Northwestern University Master of Science in Machine Learning and Data Science (MLDS)
Northwestern University,MS in Data Science (Accelerated) ,Northwestern University MS in Data Science (Accelerated)
Northwestern University,MS in Engineering Sciences and Applied Math,Northwestern University MS in Engineering Sciences and Applied Mathematics
Northwestern University,Master of Science in Engineering Sciences and Applied Math,Northwestern University MS in Engineering Sciences and Applied Mathematics
Northwestern University,Sta and DS,Northwestern University MS in Statistics and Data Science
Nanyang Technological University (NTU),MSc in Analytics ,NTU Master of Science in Analytics
Nanyang Technological University (NTU),analytics,NTU Master of Science in Analytics
Nanyang Technological University (NTU),analytic,NTU Master of Science in Analytics
Nanyang Technological University (NTU),MSc in Applied Econ,NTU Master of Science in Applied Economics
Nanyang Technological University (NTU),Biomedical Data Science,NTU Master of Science in Biomedical Data Science
Nanyang Technological University (NTU),MSc in Biomedical Data Science,NTU Master of Science in Biomedical Data Science
Nanyang Technological University (NTU),MSc in Cyber Security,NTU Master of Science in Cyber Security (MSCS)
Nanyang Technological University (NTU),MSc in Data Science,NTU Master of Science in Data Science (MSDS)
Nanyang Technological University (NTU),MSc in Financial Technology(DFS direction),NTU Master of Science in Financial Technology (DFS direction)
Nanyang Technological University (NTU),ai,NTU MSc in Artificial Intelligence
National University of Singapore (NUS),MSc in Data Science and Machine Learning,NUS Master of Science in Data Science and Machine Learning (DSML)
National University of Singapore (NUS),MSc in data science for sustainability ,NUS Master of Science in Data Science for Sustainability
National University of Singapore (NUS),MSc in Industrial & System Engineering,NUS Master of Science in Industrial and Systems Engineering
National University of Singapore (NUS),Industrial and Systems Engineering,NUS Master of Science in Industrial and Systems Engineering
National University of Singapore (NUS),MSc in Mathematics,NUS Master of Science in Mathematics
National University of Singapore (NUS),MS Precision Health Medicine,NUS Master of Science in Precision Health and Medicine
National University of Singapore (NUS),MSc in Statistics,NUS Master of Science in Statistics
National University of Singapore (NUS),Master of Statistics,NUS Master of Science in Statistics
National University of Singapore (NUS),scm,NUS MSc in Supply Chain Management
New York University (NYU),MS in Computer Science Courant,NYU Master's in Courant Computer Science
New York University (NYU),Data science,NYU Master’s in Data Science
New York University (NYU),Mathematical Science,"NYU Mathematical Sciences, M.S."
New York University (NYU),MPH in Biostatistics,NYU MPH in Biostatistics
New York University (NYU),financial engineering,NYU MS in Financial Engineering
纽约大学,Msc in financial Engineering,NYU MS in Financial Engineering
New York University (NYU),applied mathematics,NYU MSc applied mathematics
New York University (NYU),M.S. in Emerging Technologies (Machine Learning & Artificial Intelligence),NYU Tandon's Emerging Technologies MS program (Machine Learning & Artificial Intelligence)
The Hong Kong Polytechnic University (PolyU),MSc in Sport Technology and Management,PolyU MSc in Sports Technology and Management
Stanford University, Biomedical Data Science,Stanford University MS in Biomedical Data Science
Stanford University,MS Biomedical Data Science,Stanford University MS in Biomedical Data Science
Stanford University,Computational and Mathematical Engineering (ICME),Stanford University MS in Computational and Mathematical Engineering (ICME)
Stanford University,ICME - MS Data Science,Stanford University MS in Computational and Mathematical Engineering (ICME)
"University of California, Berkeley (UCB)",MS Biostatistics,UCB Biostatistics MA
"University of California, Berkeley (UCB)",Meng IEOR,UCB Industrial Engineering & Operations Research Meng
"University of California, Berkeley (UCB)",Master of Information Management and Systems,UCB Master of Information Management and Systems
"University of California, Berkeley (UCB)",datascience,"UCB Ph.D. in Statistics, Data Science"
"University of California, Irvine (UCI)",PhD in Computer Science and Engineering,UCI PhD in Computer Science and Engineering
University College London (UCL),MSc in Computational Finance,UCL Computational Finance MSc
University College London (UCL),计算机,UCL Computer Science MSc
University College London (UCL),data science,UCL Data Science MSc
University College London (UCL),MSc in data science,UCL Data Science MSc
University College London (UCL),MS Data science,UCL Data Science MSc
University College London (UCL),MSc in Finance with Data Science,UCL Finance with Data Science MSc
University College London (UCL),MSc in Health Data Science,UCL Health Data Science MSc
University College London (UCL),MSc Health Data Science,UCL Health Data Science MSc
University College London (UCL),Health Data Science MSc,UCL Health Data Science MSc
University College London (UCL),MSc Mathematics Education,UCL Mathematics Education MA
University College London (UCL),Emerging digital technologies ,UCL MSc Emerging Digital Technologies
University College London (UCL),finmath金融数学,UCL MSc Financial Mathematics
University College London (UCL),Msc in Computational Statistics and Machine Learning,UCL MSc in Computational Statistics and Machine Learning
University College London (UCL),Msc Medical Statistics and Data Science,UCL MSc Medical Statistics and Data Science
University College London (UCL),MSc Scientific and Data Intensive Computing,UCL Scientific and Data Intensive Computing MSc
University College London (UCL),MSc Social and Geographic Data Science,UCL Social and Geographic Data Science MSc
University College London (UCL),MSc in Statistics,UCL Statistics MSc
University College London (UCL),Statistics MSc,UCL Statistics MSc
University College London (UCL),MSc Venture Capital and Private Equity with Financial Technology,UCL Venture Capital and Private Equity with Financial Technology MSc
"University of California, Los Angeles (UCLA)",Data Science in Health (MDSH),UCLA Master of Data Science in Health (MDSH) Program
"University of California, Los Angeles (UCLA)",Master of Engineering in Data Science,UCLA Master of Engineering in Data Science
"University of California, Los Angeles (UCLA)",ms biostats,UCLA MS in Biostatistics
"University of California, Los Angeles (UCLA)",PhD in Computer Science and Engineering,UCLA PhD in Computer Science and Engineering
"University of California, San Diego (UCSD)",MSc in Biostatistics,UCSD Master of Science in Biostatistics
"University of California, San Diego (UCSD)",Data science ,UCSD MS in Data Science (HDSI)
"University of California, San Diego (UCSD)",MS Data Science (HDSI),UCSD MS in Data Science (HDSI)
"University of California, San Diego (UCSD)",Master of Science in Data Science,UCSD MS in Data Science (HDSI)
University of Georgia,Mechanical Engineering (PHD),UGA Mechanical Engineering (PHD)
University of Illinois Urbana-Champaign (UIUC),ds,UIUC Master of Computer Science in Data Science
University of Illinois Urbana-Champaign (UIUC),PhD in Computer Science,UIUC PhD in Computer Science
University College London (UCL),,University College London
University of Bristol,MSc in Data Science,University of Bristol MSc in Data Science
University of Bristol,MSc in Mathematics,University of Bristol MSc Mathematical Sciences
University of Cambridge,Applied Mathematics Part 3,University of Cambridge MASt in Mathematics (Applied Mathematics)
University of Cambridge,MASt in Mathematics (Applied Mathematics),University of Cambridge MASt in Mathematics (Applied Mathematics)
University of Cambridge,PartIII Statistics,University of Cambridge MASt in Mathematics (Mathematical Statistics)
University of Cambridge,MSc in statistics ,University of Cambridge MASt in Mathematics (Mathematical Statistics)
University of Cambridge,MPhil Computational Biology,University of Cambridge MPhil in Computational Biology
University of Cambridge,MPhil in Data Intensive Science,University of Cambridge MPhil in Data Intensive Science
University of Cambridge,"MPhil in Industrial Systems, Manufacture, and Management","University of Cambridge MPhil in Industrial Systems, Manufacture, and Management"
University of Cambridge,MPhil in NeuroAI & Intelligent Systems,University of Cambridge MPhil in NeuroAI & Intelligent Systems
University of Cambridge,MPhil in Population Health Sciences,University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil Population health science (health data science),University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil in Population Health Science ,University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil in Quantitative Climate and Environmental Science,University of Cambridge MPhil in Quantitative Climate and Environmental Science
University of Cambridge,MPhil Scientific Computing,University of Cambridge MPhil in Scientific Computing
University of Cambridge,MPhil in Scientific Computing,University of Cambridge MPhil in Scientific Computing
University of Cambridge,"MPhil in Strategy, Marketing, Operations and Organisational Behaviour","University of Cambridge MPhil in Strategy, Marketing, Operations and Organisational Behaviour"
University of Chicago,MS in Computer Science Program,University of Chicago Master's Program in Computer Science (MPCS)
University of Chicago,Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,MS in Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,Master of Science in Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,Computational and Applied Math,University of Chicago MS in Computational and Applied Mathematics (MCAM)
University of Chicago,Master’s Program in Computational and Applied Mathematics (MCAM),University of Chicago MS in Computational and Applied Mathematics (MCAM)
University of Chicago,Pre-Doctoral MS in Computer Science Program,University of Chicago Pre-Doctoral MS in Computer Science Program
University of Copenhagen,MSc in Mathematics,University of Copenhagen MSc in Mathematics
University of Edinburgh,MS in Data Science ,University of Edinburgh MSc Data Science
University of Edinburgh,Data Science,University of Edinburgh MSc Data Science
University of Edinburgh,MSc in Artificial Intelligence,University of Edinburgh MSc in Artificial Intelligence
University of Edinburgh,MSc Operational Research with Data Science ,University of Edinburgh MSc Operational Research with Data Science
University of Edinburgh,MSc in Operational Research with Data Science,University of Edinburgh MSc Operational Research with Data Science
University of Edinburgh,Msc Statistics and Data Science,University of Edinburgh MSc Statistics and Data Science
University of Edinburgh,MSc Statistics and Operational Research,University of Edinburgh MSc Statistics and Operational Research
University of Edinburgh,MSc in Statistics with Data Science,University of Edinburgh MSc Statistics with Data Science
University of Edinburgh,MSc Statistics with Data Science,University of Edinburgh MSc Statistics with Data Science
University of Helsinki,MSc Life Science Informatics,University of Helsinki Master's Programme in Life Science Informatics
University of Leeds,MSc Mathematics,University of Leeds MSc Mathematics
University of Manchester,MSc in Data Science,University of Manchester MSc Data Science
University of Manchester,Msc Data Science,University of Manchester MSc Data Science
University of Manchester,digital marketing,University of Manchester MSc Digital Marketing
University of Manchester,hds,University of Manchester MSc hds
University of Manchester,MSc in Advance Computer Science,University of Manchester MSc in Advanced Computer Science
University of Manchester,MSc in Artificial Intelligence,University of Manchester MSc in Artificial Intelligence
University of Manchester,MSc in Machine Learning,University of Manchester MSc in Machine Learning
University of Manchester,MSc in Pure Mathematics,University of Manchester MSc in Pure Mathematics
University of Manchester,MSc in Mathematical Finance,University of Manchester MSc Mathematical Finance
University of Manchester,MSc Statistics,University of Manchester MSc Statistics
"University of Maryland, College Park",MSc in Artificial Intelligence,"University of Maryland, College Park MSc in Artificial Intelligence"
"University of Maryland, College Park",PhD in Computer Science,"University of Maryland, College Park PhD in Computer Science"
University of Melbourne,Master of Biostatistics,University of Melbourne Master of Biostatistics
"University of Michigan, Ann Arbor",Data Science,"University of Michigan, Ann Arbor  Master’s in Data Science"
"University of Michigan, Ann Arbor",Applied statistics ,"University of Michigan, Ann Arbor Applied Statistics Master's Program"
"University of Michigan, Ann Arbor",Applied Statistics Master,"University of Michigan, Ann Arbor Applied Statistics Master's Program"
"University of Michigan, Ann Arbor",MS in biostatistics,"University of Michigan, Ann Arbor Master of Science (MS) in Biostatistics"
"University of Michigan, Ann Arbor",生统,"University of Michigan, Ann Arbor Master of Science (MS) in Biostatistics"
"University of Michigan, Ann Arbor",MS Data Science,"University of Michigan, Ann Arbor Master's in Data Science"
"University of Michigan, Ann Arbor",PhD statistics,"University of Michigan, Ann Arbor Ph.D. in Statistics"
University of North Carolina at Chapel Hill,MSc Biostatistics,University of North Carolina at Chapel Hill Master of Science Biostatistics
University of North Carolina at Chapel Hill,PhD in Computer Science and Engineering,University of North Carolina at Chapel Hill PhD in Computer Science
University of Notre Dame,PhD in Computer Science and Engineering,University of Notre Dame PhD in Computer Science and Engineering
University of Oxford,MSc in Mathematical and Computational Finance.,University of Oxford MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical Computational Finance ,University of Oxford MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical Modeling ,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,MSc in Mathematical Modelling and Scientific Computing,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,Applied Math and Scienfitc Computing,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,OMMS,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in Mathematics Science,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MS Mathematical Sciences,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in Mathematical Sciences,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,Msc in Statistical Science,University of Oxford MSc in Statistical Science
University of Oxford,MS Statistics,University of Oxford MSc in Statistical Science
University of Oxford,MSc in statistics ,University of Oxford MSc in Statistical Science
University of Sydney,Master of Computer Science,University of Sydney Master of Computer Science
University of Virginia,PhD in Computer Science,University of Virginia PhD in Computer Science
University of Warwick,Mathematics finance,University of Warwick Mathematical Finance (MSc)
University of Washington,Master of Science in Data Science,University of Washington Master of Science in Data Science
University of Washington,PhD in Computer Science,University of Washington PhD in Computer Science and Engineering
University of York,MSc in Mathematics,University of York MSc in Mathematics
University of Pennsylvania (UPenn),Applied Math and Computational Science,UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),Master of Arts in Applied Mathematics and Computational Science (AMCS),UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),AMCS,UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),MSc Biostatistics,UPenn MS program in Biostatistics
University of Pennsylvania,MSE  in Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),MSE Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),MSE in Scientific Computing,UPenn MSE in Scientific Computing
University of Pennsylvania (UPenn),System engineering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),System Engeneering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),MS in System Engineering ,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),MS in Systems Engineering ,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),Systems Engineering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),SE（系统工程）,UPenn MSE in Systems Engineering
University of Southern California (USC), Master of Science in Applied Data Science,USC Master of Science in Applied Data Science
University of Southern California (USC),data和analytic,USC MS in Applied Data Science
washington settle,statistics,UW (Seattle) MS in Statistics
University of Washington,Statistics - (MS - Advanced Methods & Data Analysis,UW Master of Science (M.S.) in Statistics - Advanced Methods and Data Analysis (AMDS)
Virginia Tech,PhD in Computer Science,VT PhD in Computer Science
Washington University in St. Louis (WashU),MSc in Biostatistics and Data Science,WashU Master of Science in Biostatistics and Data Science (MSBDS)
Yale University,MPH biostatistics,Yale University MPH in Biostatistics
Yale University,MPH in Biostatistics ,Yale University MPH in Biostatistics
Yale University,Mph Biosta,Yale University MPH in Biostatistics
Yale University,ms biostats,Yale University MS in Biostatistics
Yale University,Master of science in public health ,Yale University MS in Biostatistics
Yale University,Computational Biology and Biomedical Informatics,Yale University MS in Computational Biology and Biomedical Informatics
Yale University,MS Computational biology and biomedical informatics,Yale University MS in Computational Biology and Biomedical Informatics
Yale University,MS in Health Informatics,Yale University MS in Health Informatics
Yale University,MS Statistics & Data Science,Yale University MS in Statistics & Data Science
Yale University,PhD in Computer Science,Yale University PhD in Computer Science
